Stadt,Jahr,Vegetationsindex NE,Vegetationsindex NW,Vegetationsindex SE,Vegetationsindex SW,Niederschlag [mm],Lufttemperatur [K],Temperatur [K],Taupunkttemperatur [K],Maximum Temperatur [K],Minimum Temperatur [K],Niederschlag [kg/m*m],Relative Luftfeuchtigkeit [%],Spezifische Luftfeuchtigkeit [g/kg],Temperatur [°C],Maximum Temperatur [°C],Minimum Temperatur [°C],Dengue Fälle
sj,1997-01-13,0.14218700475435816,0.18,0.27,0.14,0.0,297.19,297.43,293.56,299.2,295.6,24.14,80.3,14.97,24.67,27.8,21.1,22
sj,1997-01-20,-0.15,0.03,0.22,0.22,0.0,297.57,297.66,292.8,299.4,296.1,7.79,74.94,14.28,24.39,28.9,19.4,33
sj,1997-01-27,0.05,0.07,0.17,0.19,6.65,297.49,297.74,293.79,300.9,295.2,23.5,80.09,15.17,24.9,28.9,21.1,24
sj,1997-02-03,0.05,0.05,0.11,0.1,66.05,296.74,296.84,293.53,298.9,295.3,81.3,82.39,14.9,24.63,28.3,21.1,30
sj,1997-02-10,0.04,0.03,0.14,0.12,53.52,297.27,297.41,292.58,299.1,295.8,14.3,75.08,14.06,23.7,27.8,19.4,20
sj,1997-02-17,0.05,0.13,0.18,0.17,24.98,297.12,297.29,293.64,298.8,295.7,50.58,80.95,15.02,24.57,27.8,21.1,17
sj,1997-02-24,0.03,0.08,0.15,0.18,0.0,297.59,297.71,293.22,299.2,296.2,15.14,76.71,14.61,24.69,28.3,21.1,24
sj,1997-03-03,0.14218700475435816,0.05,0.16,0.16,0.0,297.26,297.36,292.47,298.8,295.7,15.1,74.63,13.93,24.47,27.8,21.1,28
sj,1997-03-10,0.14218700475435816,0.13057692307692306,0.23,0.27,0.0,297.29,297.39,292.41,299.0,295.5,9.5,74.26,13.89,24.57,27.8,21.1,18
sj,1997-03-17,0.14218700475435816,0.09,0.17,0.15,0.0,297.14,297.35,292.5,299.3,295.8,14.3,75.37,13.98,24.36,27.8,21.1,13
sj,1997-03-24,0.14,0.13,0.26,0.25,0.0,297.08,297.22,292.77,299.1,296.0,17.92,76.9,14.22,24.74,28.9,21.1,9
sj,1997-03-31,0.11,0.11,0.21,0.22,0.0,297.72,297.92,292.76,300.6,295.7,7.0,74.12,14.23,25.31,31.1,20.6,14
sj,1997-04-07,0.14218700475435816,0.12,0.2,0.19,0.0,297.69,297.86,292.78,299.9,295.5,5.9,74.21,14.23,25.09,29.4,20.6,11
sj,1997-04-14,0.06,0.07,0.22,0.2,6.65,296.6,296.64,291.84,300.7,294.3,18.73,74.85,13.49,25.36,31.1,21.7,11
sj,1997-04-21,0.03,0.05,0.21,0.24,0.0,297.18,297.46,291.67,299.6,295.1,7.5,71.56,13.35,25.9,31.7,20.0,19
sj,1997-04-28,0.04,0.02,0.2,0.22,0.0,298.82,299.05,294.1,301.7,296.7,16.2,75.42,15.5,27.67,34.4,21.1,10
sj,1997-05-05,-0.0,0.01,0.2,0.19,5.73,299.2,299.39,294.82,301.7,296.7,4.0,76.95,16.17,27.77,33.9,22.8,8
sj,1997-05-12,-0.06,0.03,0.17,0.13,0.0,299.35,299.51,294.73,301.1,297.8,1.5,75.88,16.08,27.93,33.9,23.3,8
sj,1997-05-19,0.1,0.07,0.12,0.13,33.03,298.85,298.99,294.8,301.4,297.1,27.3,78.54,16.14,27.57,32.8,22.2,9
sj,1997-05-26,0.08,0.11,0.16,0.1,0.0,299.24,299.39,294.66,301.1,297.8,10.1,75.98,16.0,27.59,32.2,23.9,3
sj,1997-06-02,0.02,0.06,0.21,0.15,64.1,299.28,299.44,295.26,301.4,297.7,10.5,78.71,16.66,27.31,31.7,22.8,7
sj,1997-06-09,0.06,0.09,0.18,0.16,118.35,299.0,299.04,295.98,300.6,297.9,41.7,83.49,17.37,27.27,32.8,22.2,14
sj,1997-06-16,0.12,0.09,0.15,0.19,0.0,300.0,300.26,296.17,302.3,298.2,9.9,79.75,17.62,28.6,32.8,23.9,4
sj,1997-06-23,0.01,0.05,0.17,0.22,2.43,300.37,300.6,296.41,302.6,298.0,7.8,79.36,17.85,29.01,33.9,23.9,9
sj,1997-06-30,0.07,0.08,0.13,0.14,34.69,300.04,300.09,296.32,302.0,298.4,23.4,80.25,17.73,28.66,32.8,23.9,14
sj,1997-07-07,0.1,0.09,0.19,0.2,38.84,300.3,300.51,296.24,302.3,298.3,24.3,78.64,17.64,28.41,32.2,24.4,7
sj,1997-07-14,0.09,0.07,0.14,0.11,5.87,300.49,300.64,296.42,302.3,299.0,21.3,78.62,17.85,29.01,33.9,23.9,9
sj,1997-07-21,-0.06,0.01,0.16,0.17,24.42,300.09,300.17,296.51,302.2,298.1,35.4,80.92,17.95,28.61,32.8,24.4,3
sj,1997-07-28,-0.16,0.13057692307692306,0.16,0.15,41.34,299.96,299.94,296.6,302.7,298.2,73.74,82.13,18.05,27.9,31.7,23.3,3
sj,1997-08-04,0.14,0.08,0.25,0.19,29.9,300.12,300.21,296.22,302.4,297.8,33.6,79.45,17.62,27.83,31.7,22.8,14
sj,1997-08-11,0.1,0.1,0.14,0.11,19.57,300.29,300.41,296.74,302.5,297.8,28.6,81.1,18.18,28.64,32.2,25.0,12
sj,1997-08-18,0.01,0.05,0.14,0.16,57.65,299.84,299.99,296.57,301.9,298.1,42.79,82.39,17.99,28.29,32.8,23.9,10
sj,1997-08-25,0.14218700475435816,0.11,0.17,0.14,20.35,299.76,299.8,296.66,301.8,298.2,45.7,83.28,18.09,28.41,32.2,24.4,21
sj,1997-09-01,0.06,0.09,0.19,0.21,94.72,300.27,300.34,296.7,302.5,298.8,35.9,81.14,18.18,27.99,32.2,22.8,26
sj,1997-09-08,0.11,0.12,0.21,0.17,8.83,300.14,300.12,296.8,302.0,298.5,35.9,82.22,18.31,28.73,32.8,25.0,47
sj,1997-09-15,0.03,0.08,0.2,0.18,11.47,300.55,300.72,297.41,302.6,298.9,46.4,83.16,19.04,28.96,32.8,24.4,42
sj,1997-09-22,-0.05,0.02,0.2,0.19,86.14,300.68,300.81,297.25,303.6,299.0,36.89,81.81,18.83,28.9,34.4,25.0,31
sj,1997-09-29,0.12,0.1,0.14,0.14,13.18,300.42,300.51,296.39,302.6,298.0,39.6,78.78,17.83,28.4,32.2,23.9,34
sj,1997-10-06,0.11,0.11,0.2,0.14,46.15,300.13,300.21,297.27,302.6,298.7,39.0,84.44,18.81,27.59,32.2,21.7,33
sj,1997-10-13,0.0,0.1,0.09,0.1,70.29,300.56,300.74,296.79,303.2,298.5,26.0,80.08,18.31,28.5,33.3,23.3,52
sj,1997-10-20,-0.02,0.08,0.2,0.21,99.33,299.48,299.44,296.44,302.9,297.6,182.0,83.58,17.93,27.36,31.1,22.8,56
sj,1997-10-27,0.14218700475435816,0.2,0.32,0.29,80.85,299.61,299.84,296.3,302.3,296.4,27.34,82.23,17.82,27.7,32.8,23.9,70
sj,1997-11-03,0.14218700475435816,0.17,0.3,0.21,0.78,300.38,300.55,296.1,302.3,298.1,7.27,77.53,17.55,28.39,32.8,24.4,112
sj,1997-11-10,0.08,0.13057692307692306,0.2,0.18,2.08,300.03,300.09,295.7,301.9,298.6,9.5,77.31,17.1,27.74,31.1,23.9,70
sj,1997-11-17,0.07,0.12,0.15,0.1,18.83,299.69,299.79,295.35,302.6,297.9,9.0,77.16,16.76,27.34,32.8,22.8,47
sj,1997-11-24,0.14218700475435816,-0.1,0.2,0.15,50.55,299.49,299.53,296.31,301.8,298.0,40.5,82.77,17.74,27.33,31.1,23.9,48
sj,1997-12-01,0.22,0.16,0.17,0.21,4.76,299.62,299.7,296.34,301.9,297.9,42.9,82.27,17.77,27.26,30.6,23.9,49
sj,1997-12-08,0.06,0.07,0.35,0.31,3.01,299.46,299.51,295.58,301.3,298.2,14.7,79.4,17.0,26.67,31.7,23.3,66
sj,1997-12-15,0.14218700475435816,-0.04,0.23,0.24,0.0,300.13,300.35,295.15,302.0,298.8,0.3,74.28,16.53,26.76,32.2,21.7,56
sj,1997-12-22,0.14218700475435816,0.0,0.26,0.23,0.0,299.64,299.66,294.8,301.6,298.1,3.9,74.8,16.15,26.57,32.2,22.2,61
sj,1997-12-29,0.07,0.08,0.21,0.23,22.52,299.21,299.29,295.35,301.7,297.6,16.3,79.47,16.7,26.71,31.7,22.2,67
sj,1998-01-05,0.05,0.05,0.12,0.08,45.760388080388076,298.70191562932223,299.22570539419087,295.2464107883817,303.42710926694326,295.7191562932227,40.151818810511756,82.16215076071923,16.746445366528356,27.18576786978061,32.452437325905294,22.10214979195562,64
sj,1998-01-12,0.05,0.03,0.22,0.13,10.59,298.83,298.99,295.03,300.7,297.2,44.4,79.63,16.36,26.36,31.7,22.8,68
sj,1998-01-19,-0.02,-0.01,0.2,0.2,106.97,297.61,297.69,294.85,300.2,296.4,53.2,84.69,16.21,24.89,29.4,20.6,49
sj,1998-01-26,0.18,0.03,0.25,0.19,0.0,298.61,298.8,294.51,300.6,296.8,8.4,78.18,15.88,25.61,29.4,21.1,50
sj,1998-02-02,0.13,0.05,0.15,0.13,7.72,298.69,298.86,294.19,300.6,297.0,16.3,76.26,15.56,26.54,31.1,22.2,56
sj,1998-02-09,-0.05,-0.05,0.13,0.1,0.0,298.58,298.81,293.97,301.3,296.6,8.6,75.78,15.36,26.59,31.7,21.1,75
sj,1998-02-16,0.12,0.06,0.18,0.18,142.6,299.06,299.25,295.63,302.2,296.7,18.5,81.61,17.09,27.26,32.2,22.8,63
sj,1998-02-23,0.14218700475435816,0.08,0.24,0.24,0.0,297.59,297.84,291.9,300.2,296.2,3.1,70.7,13.51,24.41,28.9,20.0,62
sj,1998-03-02,0.15,0.08,0.24,0.15,0.0,298.89,299.13,294.11,300.6,297.8,1.1,75.02,15.48,26.27,31.1,21.1,41
sj,1998-03-09,0.06,0.1,0.17,0.16,0.0,297.66,297.79,293.5,301.1,295.0,10.3,77.92,14.94,25.61,32.2,21.1,50
sj,1998-03-16,0.14218700475435816,0.08,0.14,0.16,0.0,298.28,298.39,294.7,301.2,295.7,42.78,80.78,16.08,25.81,32.2,21.1,34
sj,1998-03-23,0.06,0.09,0.21,0.21,0.0,298.18,298.37,292.91,300.4,296.2,0.6,72.64,14.37,24.89,28.9,20.6,31
sj,1998-03-30,0.14218700475435816,0.07,0.19,0.17,0.0,298.5,298.66,294.1,300.7,296.5,21.0,76.68,15.48,26.23,31.1,22.2,38
sj,1998-04-06,0.07,0.03,0.15,0.13,72.98,298.04,298.19,294.63,301.1,296.5,41.2,81.41,16.0,25.71,31.7,21.7,30
sj,1998-04-13,0.05,0.07,0.1,0.1,12.01,297.87,298.2,294.22,300.8,295.6,19.0,80.19,15.64,26.03,31.7,21.7,32
sj,1998-04-20,0.03,0.08,0.11,0.13,0.0,298.47,298.58,294.97,300.7,296.5,23.9,81.15,16.4,26.93,33.9,22.2,26
sj,1998-04-27,0.07,0.09,0.14,0.15,22.22,297.74,297.79,293.54,299.8,296.2,24.3,77.71,15.01,25.6,29.4,21.7,30
sj,1998-05-04,0.11,0.05,0.22,0.21,71.64,299.57,299.84,295.83,301.5,298.2,11.7,80.07,17.23,26.87,31.1,22.8,36
sj,1998-05-11,0.14218700475435816,0.1,0.16,0.12,0.0,299.13,299.29,294.83,301.3,297.7,17.6,77.33,16.22,26.79,31.1,22.2,35
sj,1998-05-18,0.14218700475435816,0.04,0.13,0.1,55.76,299.2,299.4,295.11,302.9,296.6,10.3,78.4,16.5,27.14,33.9,22.2,46
sj,1998-05-25,-0.0,0.03,0.16,0.17,56.4,300.02,300.09,297.06,302.9,297.8,53.7,84.07,18.61,27.91,34.4,23.3,48
sj,1998-06-01,0.05,0.04,0.16,0.16,15.86,299.84,299.94,297.02,302.3,298.4,59.4,84.64,18.51,27.97,31.1,24.4,44
sj,1998-06-08,-0.04,0.07,0.15,0.12,8.19,299.62,299.81,296.35,301.4,298.1,35.8,82.46,17.77,27.86,32.2,23.9,51
sj,1998-06-15,0.12,0.12,0.24,0.28,86.21,300.76,300.84,297.45,302.7,299.2,20.7,82.31,18.99,28.43,32.8,23.9,59
sj,1998-06-22,0.07,0.05,0.21,0.18,49.52,300.52,300.56,296.44,303.0,298.9,15.4,78.53,17.85,28.1,32.8,23.9,71
sj,1998-06-29,0.04,0.02,0.14,0.15,72.08,299.94,299.95,297.0,302.3,298.3,71.33,84.03,18.47,28.21,32.2,23.9,102
sj,1998-07-06,0.07,0.1,0.17,0.16,20.06,300.6,300.72,296.85,302.7,299.0,33.31,80.09,18.28,28.61,32.2,25.0,128
sj,1998-07-13,-0.03,0.06,0.19,0.17,54.05,300.45,300.44,296.92,302.9,298.5,45.31,81.29,18.39,28.39,32.8,22.8,127
sj,1998-07-20,0.03,0.05,0.08,0.07,10.42,300.34,300.46,296.29,302.8,298.1,30.86,78.99,17.72,28.39,33.3,23.9,150
sj,1998-07-27,0.06,0.11,0.18,0.16,68.74,299.82,299.89,296.5,302.2,298.1,93.68,82.21,17.95,27.56,31.7,23.9,191
sj,1998-08-03,0.14,0.13,0.27,0.25,16.03,300.06,300.04,297.04,302.0,298.5,107.87,83.74,18.55,28.27,31.7,23.9,256
sj,1998-08-10,0.03,0.06,0.18,0.15,25.79,300.66,300.89,297.13,303.2,298.6,27.7,81.22,18.63,28.46,32.2,24.4,329
sj,1998-08-17,0.05,0.09,0.19,0.17,38.44,300.67,300.62,297.46,303.1,298.9,55.9,82.8,19.02,29.07,32.8,24.4,263
sj,1998-08-24,0.11,0.06,0.18,0.17,24.34,300.37,300.35,297.47,303.0,298.9,63.2,84.2,19.01,29.21,32.8,25.0,220
sj,1998-08-31,0.03,0.08,0.15,0.19,96.58,300.47,300.58,297.4,303.1,298.7,98.3,83.45,19.03,28.04,33.9,23.3,204
sj,1998-09-07,0.04,0.05,0.16,0.15,47.74,300.69,300.71,297.33,303.4,298.4,52.5,82.19,18.91,28.76,33.9,22.8,181
sj,1998-09-14,0.07,0.06,0.15,0.12,72.73,300.15,300.2,297.16,302.0,298.7,73.6,84.0,18.72,28.33,32.2,24.4,99
sj,1998-09-21,0.14218700475435816,0.04,0.16,0.14,35.03,300.59,300.61,297.28,303.0,298.8,33.83,82.33,18.85,28.73,34.4,24.4,54
sj,1998-09-28,0.05,0.05,0.23,0.21,82.87,300.13,300.19,297.06,302.1,298.8,55.8,83.33,18.58,27.77,32.2,24.4,80
sj,1998-10-05,-0.0,0.04,0.16,0.17,223.61,300.6,300.76,296.54,302.9,298.5,124.4,78.78,18.06,27.91,32.8,23.9,102
sj,1998-10-12,0.14218700475435816,-0.02,0.16,0.15,33.26,300.71,300.74,296.92,302.9,298.9,28.3,80.0,18.42,28.26,31.7,24.4,127
sj,1998-10-19,0.14218700475435816,0.08,0.19,0.14,25.94,300.8,300.86,296.61,302.9,299.3,18.5,78.1,18.09,27.76,31.7,23.3,73
sj,1998-10-26,0.02,0.08,0.2,0.2,32.09,300.25,300.24,296.9,301.9,298.8,36.5,82.04,18.41,28.16,33.9,23.9,68
sj,1998-11-02,-0.04,-0.07,0.11,0.09,182.46,299.85,299.99,296.87,302.1,297.7,92.4,83.87,18.38,27.71,32.8,23.3,64
sj,1998-11-09,0.14218700475435816,-0.0,0.22,0.17,121.65,299.65,299.69,296.94,301.7,298.5,89.5,85.12,18.48,27.43,31.1,23.3,55
sj,1998-11-16,0.0,-0.06,0.19,0.1,18.07,300.0,300.05,296.42,302.4,297.9,36.1,80.91,17.87,27.79,32.8,23.3,67
sj,1998-11-23,0.14218700475435816,0.13057692307692306,0.25,0.22,110.03,298.68,298.66,296.18,300.3,297.3,143.4,86.21,17.63,26.73,30.6,23.3,84
sj,1998-11-30,0.05,0.07,0.17,0.15,0.0,299.23,299.32,295.49,301.4,297.4,57.1,80.02,16.87,26.56,30.0,22.8,85
sj,1998-12-07,0.06,0.07,0.07,0.05,22.35,298.3,298.26,295.17,300.4,296.5,115.77,83.02,16.59,25.64,29.4,22.2,67
sj,1998-12-14,0.06,0.0,0.21,0.17,152.94,298.09,298.15,295.54,299.8,297.1,158.72,85.91,16.97,25.81,28.9,22.8,73
sj,1998-12-21,-0.08,-0.09,0.24,0.17,16.76,299.04,299.1,295.03,300.9,297.6,10.2,78.67,16.41,26.07,31.1,22.8,89
sj,1998-12-28,0.06,-0.13,0.16,0.1,0.0,299.28,299.44,295.22,301.4,298.0,12.8,78.42,16.56,25.93,30.0,22.2,68
sj,1999-01-04,0.14218700475435816,-0.09,0.19,0.16,45.39,298.7,298.81,295.1,300.7,297.3,17.72,80.6,16.45,25.57,28.9,22.2,56
sj,1999-01-11,-0.14,-0.04,0.18,0.14,0.0,298.48,298.55,294.12,300.1,297.4,12.6,76.95,15.49,25.07,28.3,20.0,77
sj,1999-01-18,-0.07,-0.04,0.18,0.12,47.16,297.86,297.97,294.41,300.0,296.1,20.62,81.31,15.77,24.99,30.0,21.1,75
sj,1999-01-25,0.05,-0.11,0.18,0.14,0.0,297.44,297.57,293.7,299.1,295.8,40.75,79.67,15.07,24.89,28.3,21.1,47
sj,1999-02-01,0.14218700475435816,0.05,0.22,0.17,0.0,296.77,296.76,290.96,299.3,294.5,14.9,70.2,12.74,24.17,27.8,19.4,50
sj,1999-02-08,0.07,0.13057692307692306,0.23,0.21,0.0,296.67,296.79,290.55,298.9,295.3,4.7,68.64,12.37,23.4,27.8,17.8,42
sj,1999-02-15,0.03,0.04,0.17,0.19,18.66,297.22,297.44,292.73,299.4,295.5,18.64,76.25,14.23,24.33,29.4,19.4,28
sj,1999-02-22,0.13,0.09,0.12,0.13,23.9,295.94,296.11,290.63,299.7,293.7,8.7,72.25,12.49,24.04,28.9,18.9,37
sj,1999-03-01,-0.05,0.04,0.2,0.16,0.0,297.54,297.68,293.31,299.7,295.3,8.3,77.43,14.73,25.0,29.4,20.6,37
sj,1999-03-08,-0.07,0.04,0.16,0.23,0.0,297.88,298.07,292.42,299.7,296.0,0.4,71.69,13.94,24.96,29.4,20.6,27
sj,1999-03-15,-0.1,0.04,0.26,0.28,5.5,297.54,297.8,292.76,300.0,295.8,5.5,74.8,14.24,24.89,31.1,20.6,12
sj,1999-03-22,0.14,0.03,0.2,0.18,5.24,298.22,298.45,293.23,300.5,296.3,3.1,73.94,14.67,25.67,30.6,21.1,15
sj,1999-03-29,0.05,-0.1,0.16,0.14,15.91,298.31,298.41,294.38,300.4,296.1,8.9,78.91,15.73,25.74,30.6,21.7,22
sj,1999-04-05,0.14218700475435816,0.0,0.2,0.21,18.76,297.98,298.09,293.27,300.1,295.7,16.2,75.39,14.75,25.61,29.4,21.1,8
sj,1999-04-12,0.03,0.04,0.1,0.1,75.59,297.48,297.64,292.41,301.0,295.2,12.76,73.64,13.97,25.39,30.0,21.1,15
sj,1999-04-19,0.09,0.04,0.19,0.12,0.0,299.25,299.46,294.52,301.4,296.7,2.0,75.39,15.87,26.91,32.2,22.8,17
sj,1999-04-26,0.07,0.03,0.19,0.14,10.2,299.04,299.15,294.2,301.0,297.2,5.35,74.8,15.56,26.69,31.7,22.2,10
sj,1999-05-03,0.06,0.05,0.17,0.19,88.2,299.43,299.5,295.42,301.8,298.0,13.3,78.68,16.8,28.23,33.9,22.2,9
sj,1999-05-10,0.14218700475435816,0.06,0.08,0.08,46.5,299.1,299.12,294.57,301.0,297.2,14.28,76.31,15.97,26.96,32.8,21.7,11
sj,1999-05-17,0.14218700475435816,0.09,0.19,0.17,33.82,299.78,299.94,295.27,302.6,297.0,22.1,76.6,16.65,27.83,33.3,23.3,20
sj,1999-05-24,0.14218700475435816,0.07,0.18,0.17,15.26,300.05,300.16,296.21,302.4,298.6,18.64,79.72,17.64,28.39,33.3,24.4,13
sj,1999-05-31,0.04,-0.01,0.12,0.09,2.16,300.59,300.67,296.24,302.7,298.4,6.6,77.37,17.64,28.41,33.3,23.9,11
sj,1999-06-07,0.05,0.05,0.07,0.08,100.35,300.03,299.98,296.43,302.0,298.3,24.8,80.75,17.85,27.91,33.9,22.8,16
sj,1999-06-14,0.14218700475435816,0.07,0.12,0.1,115.14,300.35,300.38,296.54,302.3,298.7,30.1,79.75,17.98,27.7,31.7,23.9,11
sj,1999-06-21,0.14218700475435816,0.01,0.08,0.14,96.93,299.37,299.31,296.42,301.6,297.9,81.61,83.96,17.84,27.21,31.1,22.8,7
sj,1999-06-28,0.14218700475435816,0.06,0.16,0.13,17.32,300.15,300.26,296.62,302.4,298.3,25.74,81.25,18.05,28.44,31.7,25.0,17
sj,1999-07-05,0.1,0.09,0.18,0.18,73.3,299.5,299.54,295.92,301.4,297.8,55.1,80.8,17.3,27.4,31.1,22.8,14
sj,1999-07-12,0.05,0.07,0.13,0.1,29.53,299.79,299.84,296.39,302.4,297.5,58.2,81.85,17.8,27.27,32.8,23.3,13
sj,1999-07-19,0.12,0.05,0.21,0.19,96.36,299.85,299.86,296.86,301.9,298.5,66.52,83.92,18.32,26.7,31.1,21.7,15
sj,1999-07-26,0.01,0.09,0.3,0.18,8.53,300.06,300.15,296.47,302.6,298.0,32.44,80.97,17.9,28.1,32.8,23.9,30
sj,1999-08-02,-0.07,0.02,0.16,0.17,22.01,300.5,300.49,297.05,302.8,298.8,29.35,81.67,18.56,28.37,32.8,22.8,25
sj,1999-08-09,0.14218700475435816,0.11,0.21,0.17,44.23,299.97,300.01,296.74,302.6,298.4,61.7,82.65,18.21,28.09,31.7,23.9,40
sj,1999-08-16,0.01,0.07,0.2,0.17,31.78,300.33,300.29,296.86,302.4,298.9,46.2,81.39,18.33,28.37,31.7,25.0,44
sj,1999-08-23,-0.01,0.04,0.17,0.15,133.65,300.23,300.29,296.86,302.8,298.7,61.8,82.0,18.36,27.86,33.9,23.9,25
sj,1999-08-30,0.14218700475435816,-0.03,0.21,0.19,30.98,300.46,300.44,296.9,302.7,299.1,25.74,81.0,18.41,28.19,32.8,23.9,21
sj,1999-09-06,0.09,0.06,0.09,0.1,66.06,300.58,300.62,296.8,302.8,298.8,40.7,79.97,18.31,28.3,31.7,25.0,48
sj,1999-09-13,-0.01,0.07,0.16,0.13,121.24,300.96,301.02,297.08,303.2,299.5,34.13,79.7,18.71,28.41,33.9,24.4,56
sj,1999-09-20,0.08,0.07,0.14,0.1,44.44,300.57,300.62,296.7,302.8,298.3,30.4,79.39,18.21,28.46,32.2,24.4,60
sj,1999-09-27,0.05,0.04,0.17,0.16,62.41,300.64,300.64,296.82,303.5,298.9,64.72,79.84,18.35,28.71,34.4,23.9,45
sj,1999-10-04,0.13,0.01,0.21,0.14,52.34,300.5,300.6,296.66,302.5,298.5,22.37,79.67,18.12,28.0,32.8,23.3,55
sj,1999-10-11,-0.09,0.13,0.09,0.06,45.32,299.83,299.84,295.87,301.7,298.5,41.31,79.16,17.3,27.17,31.1,23.3,32
sj,1999-10-18,0.14218700475435816,-0.04,0.04,0.04,171.59,300.03,300.01,296.82,301.6,298.7,40.8,82.66,18.32,26.76,31.1,23.9,46
sj,1999-10-25,0.14218700475435816,0.01,0.18,0.07,67.94,299.8,300.04,297.13,301.9,298.7,138.1,85.38,18.74,27.67,32.2,23.3,61
sj,1999-11-01,0.06,0.1,0.17,0.17,4.84,299.96,299.94,296.53,302.0,298.0,24.52,81.63,18.01,27.44,32.2,23.9,42
sj,1999-11-08,0.12,0.1,0.09,0.09,20.03,299.3,299.38,295.87,301.0,298.0,53.27,81.49,17.3,26.89,30.6,23.9,37
sj,1999-11-15,-0.05,0.07,0.05,0.04,83.66,298.97,299.08,296.33,301.3,298.0,104.51,85.4,17.82,26.71,30.6,22.8,43
sj,1999-11-22,0.0,0.07,0.11,0.09,224.9,298.73,298.88,296.29,300.8,297.1,140.2,86.41,17.87,26.6,31.7,23.3,34
sj,1999-11-29,0.15,0.1,0.11,0.1,2.11,298.78,299.06,294.78,301.0,296.8,8.7,78.68,16.21,26.1,30.6,21.1,40
sj,1999-12-06,0.14218700475435816,0.09,0.26,0.21,63.47,297.33,297.3,293.97,298.9,296.2,107.84,81.86,15.42,24.93,28.9,21.7,25
sj,1999-12-13,0.11,0.08,0.13,0.08,0.0,297.4,297.39,292.16,298.7,296.3,8.78,72.65,13.73,24.94,28.3,20.6,16
sj,1999-12-20,0.11,0.13,0.11,0.1,0.0,297.38,297.51,292.96,299.4,296.1,14.5,76.5,14.44,24.84,27.8,21.7,17
sj,2000-01-03,0.14218700475435816,0.13057692307692306,0.20376569037656908,0.20244769874476987,45.760388080388076,298.70191562932223,299.22570539419087,295.2464107883817,303.42710926694326,295.7191562932227,40.151818810511756,82.16215076071923,16.746445366528356,27.18576786978061,32.452437325905294,22.10214979195562,59
sj,2000-01-03,0.21,0.16,0.14,0.1,81.73,298.15,298.16,294.36,299.9,296.5,32.3,79.61,15.72,25.13,29.4,21.7,16
sj,2000-01-10,0.34,0.31,0.25,0.17,45.19,297.44,297.59,293.19,299.1,296.1,47.1,77.34,14.61,25.11,28.3,21.7,23
sj,2000-01-17,0.35,0.31,0.33,0.29,0.0,296.59,296.48,290.85,299.0,293.2,14.7,70.46,12.61,23.61,27.2,20.0,18
sj,2000-01-24,0.34,0.23,0.33,0.38,0.0,296.18,296.36,289.83,299.0,292.6,0.7,67.77,11.96,22.84,28.3,17.8,18
sj,2000-01-31,0.29,0.22,0.24,0.16,0.0,297.67,297.86,292.73,299.8,295.8,2.02,74.06,14.21,25.17,30.0,20.6,9
sj,2000-02-07,0.14218700475435816,0.11,0.21,0.15,24.19,297.68,297.9,293.27,299.9,296.3,2.6,76.5,14.65,24.93,30.0,20.6,7
sj,2000-02-14,0.19,0.17,0.16,0.09,0.0,297.75,297.98,293.25,299.9,296.3,3.1,76.12,14.62,25.2,30.0,21.1,7
sj,2000-02-21,0.14218700475435816,0.21,0.15,0.15,7.67,297.09,297.22,292.17,298.9,295.3,13.41,74.06,13.67,24.77,28.3,20.6,4
sj,2000-02-28,0.17,0.2,0.22,0.16,98.45,296.55,296.68,291.95,298.9,294.5,14.91,75.72,13.59,24.53,29.4,20.0,3
sj,2000-03-06,0.38,0.22,0.16,0.16,11.48,296.2,296.36,289.64,299.1,294.4,1.1,66.74,11.72,24.0,29.4,19.4,2
sj,2000-03-13,0.23,0.23,0.16,0.09,25.96,296.32,296.45,291.0,298.4,294.0,3.29,72.14,12.74,25.07,28.9,21.1,8
sj,2000-03-20,0.22,0.2,0.23,0.19,0.0,296.74,296.91,291.23,298.8,294.6,6.8,71.39,12.93,24.8,29.4,19.4,3
sj,2000-03-27,0.14218700475435816,0.15,0.26,0.21,2.09,296.35,296.61,290.81,299.3,293.6,5.14,71.35,12.64,24.4,28.9,20.0,1
sj,2000-04-03,0.21,0.05,0.18,0.2,7.23,297.82,297.96,293.63,300.1,296.0,17.9,77.79,15.06,25.59,30.6,21.7,1
sj,2000-04-10,0.07,0.1,0.17,0.14,0.0,297.75,297.87,293.19,299.9,293.9,5.3,75.84,14.65,25.97,30.6,20.6,2
sj,2000-04-17,-0.29,0.08,0.09,0.08,0.0,297.62,297.79,292.83,299.8,296.1,14.9,74.75,14.27,25.8,29.4,20.6,3
sj,2000-04-24,0.15,0.13,0.22,0.18,82.06,298.34,298.59,294.25,300.6,296.3,5.0,78.24,15.62,26.93,32.2,22.2,3
sj,2000-05-01,0.13,0.11,0.13,0.13,6.13,298.65,298.72,294.14,300.4,297.0,3.4,76.21,15.48,27.14,32.2,21.7,2
sj,2000-05-08,0.14218700475435816,0.1,0.15,0.13,21.53,298.32,298.44,294.26,300.4,296.6,16.35,78.34,15.64,26.64,30.6,22.2,0
sj,2000-05-15,0.09,0.09,0.18,0.16,68.14,298.77,298.96,294.55,301.0,297.0,10.06,77.71,15.92,26.6,32.2,21.1,0
sj,2000-05-22,0.19,0.11,0.18,0.11,39.45,298.78,299.14,294.87,301.2,297.0,13.8,79.2,16.24,26.81,31.1,22.8,2
